AVar1;AVar2;AVar3;AVar4;AVar5;BVar1;BVar2;BVar3;BVar4;BVar5;CVar1;CVar2;CVar3;CVar4;CVar5;DVar1;DVar2;DVar3;DVar4;DVar5;A;B;C;D;contVar1;contVar2;contVar3;contVar4;contVar5;wokr_ex;bin1;bin2;age;indVar1;indVar2;inCVar3;proba
4;3;2;2;1;1;2;1;2;1;4;3;3;3;3;2;2;3;2;2;2;1;3;2;96;50;48;33;435;40;0;0;65+;2;Nie;B;C
5;4;4;5;3;4;4;5;3;3;4;2;2;3;3;4;4;3;5;5;4;4;3;4;84;30;59;24;362;1;1;1;25-34;2;Nie;C;C
4;3;2;4;2;1;4;4;2;1;4;3;2;2;2;3;2;4;2;2;3;2;2;2;82;49;71;39;604;16;1;0;55-64;1;Nie;B;D
4;4;4;4;2;2;2;2;3;2;3;4;4;3;3;1;4;4;2;2;4;2;3;2;85;60;57;55;599;20;0;0;45-54;1;Nie;C;B
5;4;4;5;5;4;5;5;5;5;3;3;4;4;4;4;4;3;3;5;5;5;4;4;93;62;55;39;477;25;1;0;55-64;1;Nie;C;D
5;5;5;5;4;4;4;2;3;2;1;2;2;2;2;4;4;1;4;3;5;3;2;4;88;63;55;48;514;40;1;0;55-64;1;Nie;C;D
4;5;5;5;3;5;3;5;5;5;3;2;4;3;2;5;5;3;5;3;5;5;3;5;61;58;72;42;437;2;0;1;25-34;1;Nie;C;A
5;4;4;2;2;5;1;4;3;2;2;4;4;1;1;1;1;1;1;1;4;3;2;1;74;30;50;24;343;11;0;1;35-44;2;Nie;B;A
1;2;1;1;3;4;4;4;3;4;3;3;4;3;3;1;1;3;3;3;1;4;3;3;72;47;64;37;410;15;0;0;35-44;2;Nie;B;A
5;5;4;1;3;1;5;5;3;3;5;1;3;1;1;1;4;5;5;5;4;3;1;5;88;53;65;43;556;43;1;0;65+;1;Tak;C;A
4;4;4;4;4;5;5;4;4;5;5;5;5;5;5;4;4;4;5;5;4;5;5;4;45;39;45;19;299;12;0;0;35-44;2;Nie;A;D
2;1;1;3;2;4;4;5;3;4;3;5;5;5;5;1;3;5;2;3;2;4;5;3;91;45;70;55;482;13;0;0;35-44;2;Nie;A;D
4;5;4;4;4;4;4;4;3;2;3;4;5;3;2;4;3;3;3;3;4;4;3;3;43;39;46;39;350;35;1;0;55-64;1;Tak;A;A
5;5;4;3;3;4;2;4;5;4;4;3;4;3;2;2;3;4;2;2;4;4;3;2;89;69;95;46;656;18;1;0;35-44;1;Nie;B;C
1;1;1;1;3;4;3;1;2;3;4;2;3;4;3;2;1;3;2;1;1;3;3;2;64;48;58;20;368;20;0;1;45-54;2;Nie;B;C
5;4;4;5;4;2;2;4;4;4;3;5;5;5;5;5;5;2;5;5;4;4;5;5;49;36;46;19;361;24;1;0;45-54;2;Tak;A;C
4;4;3;3;4;2;3;4;4;3;2;3;3;3;3;2;3;2;3;3;4;3;3;3;62;49;51;34;422;44;0;0;65+;1;Tak;A;D
4;4;4;5;4;4;4;4;5;4;3;3;4;4;4;4;4;2;2;4;4;4;4;4;89;62;75;43;595;20;0;0;45-54;2;Nie;A;D
4;5;5;4;4;3;4;5;4;4;3;4;4;3;4;4;4;3;4;4;4;4;4;4;65;45;41;30;396;12;1;1;35-44;2;Nie;A;A
4;4;4;5;4;4;5;5;4;4;5;4;5;5;5;5;5;5;5;5;4;4;5;5;58;37;47;22;346;14;1;1;35-44;2;Nie;A;A
4;4;5;4;5;4;5;4;4;4;5;4;4;5;5;5;5;4;4;5;4;4;5;5;75;47;53;39;479;10;1;0;35-44;2;Nie;C;C
4;5;2;5;5;4;5;4;4;4;3;5;5;3;4;5;5;2;5;4;5;4;4;5;52;25;41;14;278;24;0;1;55-64;1;Nie;A;B
4;4;4;5;2;4;4;4;3;2;5;5;5;5;4;2;4;5;5;5;4;4;5;5;68;49;67;53;460;35;1;1;55-64;1;Tak;C;D
4;4;4;4;4;4;3;4;2;2;3;3;4;3;3;4;4;4;2;2;4;3;3;4;82;46;82;25;538;16;1;0;35-44;2;Nie;A;A
5;4;2;5;4;5;5;5;4;4;4;4;4;3;3;5;5;4;2;3;4;5;4;4;56;35;38;19;317;6;1;1;25-34;1;Nie;B;C
2;4;2;2;3;2;2;4;4;2;3;4;3;3;3;2;4;3;3;3;2;2;3;3;56;37;43;13;313;36;1;1;55-64;1;Nie;A;B
4;4;4;4;3;4;4;3;3;4;3;4;4;4;4;4;4;3;3;3;4;4;4;3;71;57;57;31;424;15;0;0;35-44;2;Nie;B;A
4;4;4;4;4;1;4;2;2;1;2;3;2;4;2;2;4;2;4;3;4;2;2;3;153;99;91;55;822;34;1;0;55-64;2;Nie;B;B
2;2;2;2;2;2;4;4;1;2;4;3;4;2;2;2;2;4;2;2;2;2;3;2;86;78;77;67;704;35;0;0;65+;1;Nie;B;C
4;4;4;4;4;4;4;4;4;2;4;2;4;2;2;4;4;4;2;2;4;4;2;4;46;39;38;17;292;6;1;0;35-44;2;Nie;B;C
4;4;4;3;4;5;5;5;5;4;1;1;1;2;1;3;3;4;2;2;4;5;1;3;80;43;67;25;457;18;1;0;45-54;1;Nie;B;C
4;4;4;4;4;2;4;4;4;2;3;2;4;3;2;4;4;2;4;4;4;4;3;4;66;49;73;50;433;17;1;0;35-44;2;Nie;B;D
4;4;4;4;4;4;4;4;4;4;5;3;4;3;3;4;4;4;4;4;4;4;3;4;83;80;62;70;584;7;1;1;35-44;2;Tak;A;B
2;2;2;4;3;5;5;5;3;5;4;4;4;3;5;5;4;4;2;1;2;5;4;4;79;38;46;31;387;6;0;0;25-34;2;Tak;A;A
2;2;3;4;4;4;4;4;4;4;4;2;4;3;3;4;4;3;1;1;3;4;3;3;75;58;93;38;573;5;0;0;25-34;2;Nie;B;C
2;2;4;5;3;4;4;4;4;3;4;2;3;3;3;2;4;4;4;4;3;4;3;4;139;59;105;55;645;29;0;0;45-54;1;Nie;B;C
5;5;5;5;5;4;4;5;5;5;4;4;4;4;3;5;5;4;5;5;5;5;4;5;63;47;55;36;436;1;1;0;25-34;1;Tak;A;D
4;4;4;4;4;4;2;3;2;2;2;2;4;4;2;2;4;4;2;2;4;2;2;2;65;51;56;34;433;20;0;0;35-44;2;Tak;A;B
4;4;4;4;3;5;4;4;3;4;2;2;2;2;2;3;4;2;3;3;4;4;2;3;166;73;118;99;822;7;0;0;35-44;2;Nie;B;B
